"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,1.28256763500685,0.452,0.166,0,"CD209"
0,1.60235949429437,0.546,0.265,0,"DUSP1"
0,0.728863346743531,0.604,0.348,0,"COL9A3"
0,1.24064189329706,0.765,0.521,0,"DUSP6"
0,0.79806691554836,0.467,0.255,0,"AR"
0,1.59970975205494,0.313,0.117,0,"SOX4"
0,0.697434837904839,0.395,0.205,0,"WNT7B"
0,-1.37714062427405,0.213,0.392,0,"HSPA1A/B"
0,-1.45730221107874,0.195,0.365,0,"TIMP1"
0,-1.70428395113237,0.18,0.345,0,"MT2A"
0,0.926000784467123,0.311,0.149,0,"SMO"
0,-1.6513565559446,0.089,0.243,0,"GADD45B"
0,-1.06595893771044,0.237,0.387,0,"IFITM3"
0,-1.37173248999643,0.092,0.237,0,"HSP90AA1"
0,0.673189960991357,0.266,0.134,0,"SERPINA1"
0,0.634005209157896,0.364,0.233,0,"IFI6"
0,-1.24626447669497,0.07,0.2,0,"ENO1"
0,-1.78567700985455,0.097,0.227,0,"MT1X"
0,0.402346460319802,0.31,0.182,0,"LTB"
0,1.63136879487308,0.205,0.078,0,"IGHG2"
0,-0.739522746071554,0.155,0.28,0,"HSP90AB1"
0,1.054365029541,0.205,0.087,0,"OASL"
0,-0.880815490092598,0.094,0.21,0,"LDHA"
0,0.964115538354775,0.275,0.16,0,"VHL"
0,0.759075617390987,0.255,0.141,0,"KRT17"
0,0.865316559070417,0.26,0.148,0,"KLF2"
0,-0.648621692942933,0.144,0.255,0,"CD63"
0,1.12446162003084,0.178,0.068,0,"P2RX5"
0,-0.578897114739892,0.186,0.295,0,"PFN1"
0,-1.10479384292793,0.087,0.195,0,"SOD2"
0,1.08953661611862,0.205,0.098,0,"TYK2"
0,1.06984628663713,0.212,0.106,0,"KRT86"
0,-1.19033340612164,0.068,0.174,0,"CD59"
0,-0.621965202015695,0.205,0.309,0,"YBX3"
0,-0.641663427818648,0.432,0.535,0,"MHC I"
0,0.921822448942105,0.198,0.096,0,"S100P"
0,0.707014333619668,0.289,0.188,0,"SNAI1"
0,-0.472290854514635,0.162,0.261,0,"ANXA2"
0,-0.977702501343973,0.056,0.153,0,"HIF1A"
0,-0.978678832527726,0.058,0.153,0,"PGK1"
0,-0.894789974863392,0.074,0.168,0,"MIF"
