gene,avg_log2FC,p_val,p_val_adj,significance
CD209,1.2825676350068491,0,0,Higher in PLWH
DUSP1,1.6023594942943662,0,0,Higher in PLWH
COL9A3,0.7288633467435313,0,0,"Significant, modest FC"
DUSP6,1.2406418932970595,0,0,Higher in PLWH
AR,0.7980669155483602,0,0,"Significant, modest FC"
SOX4,1.5997097520549435,0,0,Higher in PLWH
WNT7B,0.6974348379048392,0,0,"Significant, modest FC"
HSPA1A/B,-1.3771406242740492,0,0,Higher in PWoH
TIMP1,-1.4573022110787397,0,0,Higher in PWoH
MT2A,-1.7042839511323677,0,0,Higher in PWoH
SMO,0.9260007844671225,0,0,"Significant, modest FC"
GADD45B,-1.6513565559445982,0,0,Higher in PWoH
IFITM3,-1.0659589377104428,0,0,Higher in PWoH
HSP90AA1,-1.371732489996428,0,0,Higher in PWoH
SERPINA1,0.6731899609913565,0,0,"Significant, modest FC"
IFI6,0.6340052091578965,0,0,"Significant, modest FC"
ENO1,-1.2462644766949742,0,0,Higher in PWoH
MT1X,-1.7856770098545467,0,0,Higher in PWoH
LTB,0.40234646031980237,0,0,"Significant, modest FC"
IGHG2,1.6313687948730777,0,0,Higher in PLWH
HSP90AB1,-0.7395227460715539,0,0,"Significant, modest FC"
OASL,1.054365029541005,0,0,Higher in PLWH
LDHA,-0.8808154900925982,0,0,"Significant, modest FC"
VHL,0.9641155383547755,0,0,"Significant, modest FC"
KRT17,0.7590756173909874,0,0,"Significant, modest FC"
KLF2,0.8653165590704166,0,0,"Significant, modest FC"
CD63,-0.6486216929429327,0,0,"Significant, modest FC"
P2RX5,1.1244616200308384,0,0,Higher in PLWH
PFN1,-0.5788971147398918,0,0,"Significant, modest FC"
SOD2,-1.10479384292793,0,0,Higher in PWoH
TYK2,1.0895366161186235,0,0,Higher in PLWH
KRT86,1.0698462866371319,0,0,Higher in PLWH
CD59,-1.190333406121637,0,0,Higher in PWoH
YBX3,-0.6219652020156952,0,0,"Significant, modest FC"
MHC I,-0.6416634278186484,0,0,"Significant, modest FC"
S100P,0.921822448942105,0,0,"Significant, modest FC"
SNAI1,0.7070143336196679,0,0,"Significant, modest FC"
ANXA2,-0.47229085451463515,0,0,"Significant, modest FC"
HIF1A,-0.9777025013439733,0,0,"Significant, modest FC"
PGK1,-0.9786788325277258,0,0,"Significant, modest FC"
MIF,-0.8947899748633916,0,0,"Significant, modest FC"
THBS2,-0.9848922282288459,0,0,"Significant, modest FC"
CD68,-1.1678132166519704,0,0,Higher in PWoH
ADIRF,0.7007246495354789,0,0,"Significant, modest FC"
SAT1,-0.5461191572191164,0,0,"Significant, modest FC"
TM4SF1,-1.0155382258301424,0,0,Higher in PWoH
OSMR,-0.932343123626302,0,0,"Significant, modest FC"
GLUL,-0.6825563523399767,0,0,"Significant, modest FC"
ENG,-0.912967703451836,0,0,"Significant, modest FC"
CCL2,-1.1576595608491984,0,0,Higher in PWoH
THBS1,-1.014733947169701,0,0,Higher in PWoH
STAT3,-0.5814452873455824,0,0,"Significant, modest FC"
ATP5F1B,-0.8456206268321829,0,0,"Significant, modest FC"
IL17D,0.8080646398492801,0,0,"Significant, modest FC"
LINC02446,0.9797583072311555,0,0,"Significant, modest FC"
LINC01857,0.8255333061156289,0,0,"Significant, modest FC"
ITGA5,-1.0562450221366728,0,0,Higher in PWoH
TNNT2,0.8475760132833816,0,0,"Significant, modest FC"
SERPINA3,-1.3157942637838773,0,0,Higher in PWoH
LYVE1,-1.3102622340622307,0,0,Higher in PWoH
HSP90B1,-0.762187200106982,1.2835299105011053e-307,1.845337264769622e-306,"Significant, modest FC"
MYC,-1.3403448620251042,2.222651482117514e-305,3.143976370672677e-304,Higher in PWoH
CD44,-0.5141920285715873,8.357212467406959e-303,1.1633770371295085e-301,"Significant, modest FC"
UBA52,-0.2935159377186425,5.497864854803148e-284,7.533792933847438e-283,"Significant, modest FC"
S100A9,-1.906496918593599,2.6408590275924548e-282,3.563128257228589e-281,Higher in PWoH
ACTA2,1.0818935673899794,7.330008732210577e-282,9.74002675477072e-281,Higher in PLWH
COL4A2,-0.6916280542349851,1.8852856468177707e-275,2.4677544959092315e-274,"Significant, modest FC"
APOD,-0.6290051028084109,8.962897707203512e-257,1.1559501895908058e-255,"Significant, modest FC"
TPI1,-0.44290580736810004,1.6213949378009617e-254,2.060816464422382e-253,"Significant, modest FC"
HEXB,-0.7945135999848025,1.3607037110926946e-252,1.7047673637547045e-251,"Significant, modest FC"
COL4A1,-0.775956738870474,1.1763211792256571e-251,1.453005174902678e-250,"Significant, modest FC"
